time,left_contact,right_contact,swing_leg,stance_leg,swing_foot_rel_com_x,swing_foot_rel_com_y,swing_foot_rel_com_z,stance_foot_rel_com_x,stance_foot_rel_com_y,stance_foot_rel_com_z,lower_body_inertia_about_robot_com_x,lower_body_inertia_about_robot_com_y,lower_body_inertia_about_robot_com_z
0.0355,1,1,-1,1,nan,nan,nan,-0.00801394382136,-0.11859022492,-0.693037534557,2.12279059403,1.96262829013,0.241057378138
0.036,1,1,-1,1,nan,nan,nan,-0.00801507874852,-0.118590249345,-0.693036069894,2.12278840621,1.9626327395,0.241064077531
0.0365,1,1,-1,1,nan,nan,nan,-0.00801632260653,-0.118590273891,-0.69303459799,2.12278612404,1.96263698421,0.241070665242
0.037,1,1,-1,1,nan,nan,nan,-0.00801765178809,-0.118590298555,-0.693033107807,2.12278367712,1.96264098552,0.241077173031
0.0375,1,1,-1,1,nan,nan,nan,-0.00801904145107,-0.118590323334,-0.693031590327,2.12278100617,1.96264471327,0.24108363012
0.038,1,1,-1,1,nan,nan,nan,-0.00802046703947,-0.11859034822,-0.693030038384,2.12277806278,1.96264814514,0.241090062686
0.0385,1,1,-1,1,nan,nan,nan,-0.0080219049507,-0.118590373207,-0.693028446502,2.12277480877,1.96265126588,0.241096493763
0.039,1,1,-1,1,nan,nan,nan,-0.0080233330828,-0.118590398288,-0.693026810737,2.12277121551,1.9626540666,0.241102943192
0.0395,1,1,-1,1,nan,nan,nan,-0.00802473125923,-0.118590423455,-0.693025128531,2.12276726321,1.96265654408,0.241109427643
0.04,1,1,-1,1,nan,nan,nan,-0.00802608122688,-0.118590448688,-0.693023398581,2.12276294028,1.96265870036,0.241115960836
0.0405,1,1,-1,1,nan,nan,nan,-0.00802736713747,-0.118590473984,-0.693021620702,2.12275824269,1.96266054208,0.241122553532
0.041,1,1,-1,1,nan,nan,nan,-0.00802857610093,-0.118590499337,-0.69301979566,2.12275317322,1.96266207966,0.241129213461
0.0415,1,1,-1,1,nan,nan,nan,-0.00802969774893,-0.11859052474,-0.693017925045,2.12274774042,1.96266332666,0.241135945708
0.042,1,1,-1,1,nan,nan,nan,-0.00803072414768,-0.118590550185,-0.693016011162,2.12274195792,1.9626642993,0.241142752943
0.0425,1,1,-1,1,nan,nan,nan,-0.00803164964453,-0.118590575666,-0.693014056908,2.12273584369,1.96266501596,0.241149635663
0.043,1,1,-1,1,nan,nan,nan,-0.00803247066359,-0.118590601176,-0.693012065678,2.12272941928,1.96266549671,0.241156592452
0.0435,1,1,-1,1,nan,nan,nan,-0.00803318546393,-0.118590626708,-0.693010041263,2.12272270918,1.96266576294,0.241163620253
0.044,1,1,-1,1,nan,nan,nan,-0.00803379387361,-0.118590652257,-0.693007987762,2.12271574017,1.9626658369,0.241170714624
0.0445,1,1,-1,1,nan,nan,nan,-0.00803429701139,-0.118590677817,-0.693005909502,2.12270854065,1.9626657414,0.241177870007
0.045,1,1,-1,1,nan,nan,nan,-0.00803469700715,-0.118590703383,-0.693003810965,2.12270114015,1.96266549948,0.241185079976
0.0455,1,1,-1,1,nan,nan,nan,-0.00803499672536,-0.118590728949,-0.693001696717,2.12269356874,1.96266513412,0.241192337465
0.046,1,1,-1,1,nan,nan,nan,-0.00803519952062,-0.118590754509,-0.69299957135,2.12268585658,1.96266466795,0.241199634995
0.0465,1,1,-1,1,nan,nan,nan,-0.00803530899707,-0.118590780061,-0.692997439428,2.1226780335,1.96266412307,0.241206964859
0.047,1,1,-1,1,nan,nan,nan,-0.00803532879729,-0.1185908056,-0.69299530544,2.12267012865,1.96266352084,0.2412143193
0.0475,1,1,-1,1,nan,nan,nan,-0.00803526243683,-0.118590831122,-0.692993173756,2.12266217012,1.96266288168,0.241221690659
0.048,1,1,-1,1,nan,nan,nan,-0.00803511315214,-0.118590856624,-0.692991048596,2.12265418475,1.96266222496,0.241229071497
0.0485,1,1,-1,1,nan,nan,nan,-0.00803488378383,-0.118590882104,-0.692988933997,2.12264619785,1.96266156886,0.2412364547
0.049,1,1,-1,1,nan,nan,nan,-0.00803457670635,-0.118590907558,-0.692986833792,2.12263823309,1.96266093033,0.241243833551
0.0495,1,1,-1,1,nan,nan,nan,-0.00803419376524,-0.118590932985,-0.692984751587,2.12263031233,1.96266032497,0.241251201791
0.05,1,1,-1,1,nan,nan,nan,-0.00803373626481,-0.118590958381,-0.692982690752,2.12262245556,1.962659767,0.241258553654
0.0505,1,1,-1,1,nan,nan,nan,-0.00803320495754,-0.118590983746,-0.692980654405,2.1226146809,1.96265926926,0.241265883884
0.051,1,1,-1,1,nan,nan,nan,-0.00803260007723,-0.118591009077,-0.692978645414,2.12260700451,1.9626588432,0.241273187741
0.0515,1,1,-1,1,nan,nan,nan,-0.00803192768844,-0.118591034373,-0.692976666138,2.12259944188,1.96265849706,0.241280457988
0.052,1,1,-1,1,nan,nan,nan,-0.00803118713692,-0.118591059633,-0.692974718749,2.12259200371,1.96265823764,0.241287690708
0.0525,1,1,-1,1,nan,nan,nan,-0.0080303754958,-0.118591084855,-0.692972805231,2.12258469848,1.96265807083,0.241294883319
0.053,1,1,-1,1,nan,nan,nan,-0.00802948967576,-0.118591110038,-0.692970927359,2.12257753337,1.96265800164,0.241302033621
0.0535,1,1,-1,1,nan,nan,nan,-0.00802852653298,-0.11859113518,-0.692969086696,2.12257051438,1.96265803418,0.241309139731
0.054,1,1,-1,1,nan,nan,nan,-0.00802748296277,-0.118591160282,-0.692967284611,2.12256364637,1.96265817171,0.241316200026
0.0545,1,1,-1,1,nan,nan,nan,-0.00802635598822,-0.118591185343,-0.692965522281,2.1225569332,1.96265841667,0.241323213092
0.055,1,1,-1,1,nan,nan,nan,-0.00802514283466,-0.118591210363,-0.692963800702,2.12255037778,1.96265877076,0.241330177678
0.0555,1,1,-1,1,nan,nan,nan,-0.00802384098355,-0.118591235341,-0.692962120702,2.12254398226,1.96265923499,0.241337092651
0.056,1,1,-1,1,nan,nan,nan,-0.00802244821729,-0.118591260278,-0.692960482959,2.12253774805,1.96265980973,0.241343956963
0.0565,1,1,-1,1,nan,nan,nan,-0.00802096265003,-0.118591285173,-0.692958888009,2.12253167596,1.96266049483,0.241350769623
0.057,1,1,-1,1,nan,nan,nan,-0.0080193827449,-0.118591310024,-0.692957336263,2.12252576632,1.96266128966,0.241357529672
0.0575,1,1,-1,1,nan,nan,nan,-0.00801770731982,-0.118591334834,-0.692955828022,2.122520019,1.96266219317,0.24136423617
0.058,1,1,-1,1,nan,nan,nan,-0.00801593554297,-0.118591359601,-0.692954363488,2.12251443358,1.962663204,0.241370888178
0.0585,1,1,-1,1,nan,nan,nan,-0.00801406691951,-0.118591384326,-0.692952942782,2.12250900937,1.96266432055,0.241377484759
0.059,1,1,-1,1,nan,nan,nan,-0.00801210127096,-0.11859140901,-0.692951565952,2.12250374548,1.96266554099,0.241384024967
0.0595,1,1,-1,1,nan,nan,nan,-0.0080100330557,-0.118591433654,-0.692950233225,2.1224986394,1.96266686428,0.241390510255
0.06,1,1,-1,1,nan,nan,nan,-0.00800786761477,-0.118591458341,-0.692948944165,2.1224936909,1.96266828746,0.241396937905
0.0605,1,1,-1,1,nan,nan,nan,-0.00800560786086,-0.11859148299,-0.692947697352,2.12248889267,1.96266980347,0.241403308105
0.061,1,1,-1,1,nan,nan,nan,-0.00800325544054,-0.118591507596,-0.692946491431,2.1224842373,1.96267140562,0.241409621578
0.0615,1,1,-1,1,nan,nan,nan,-0.00800081215962,-0.118591532161,-0.692945325106,2.12247971782,1.96267308757,0.241415878932
0.062,1,1,-1,1,nan,nan,nan,-0.00799827992382,-0.118591556686,-0.692944197142,2.12247532776,1.96267484339,0.241422080698
0.0625,1,1,-1,1,nan,nan,nan,-0.00799566068829,-0.11859158117,-0.692943106363,2.12247106107,1.96267666752,0.241428227356
0.063,1,1,-1,1,nan,nan,nan,-0.00799295641498,-0.118591605614,-0.692942051652,2.1224669121,1.96267855477,0.241434319355
0.0635,1,1,-1,1,nan,nan,nan,-0.00799016977855,-0.118591630021,-0.692941031902,2.12246287574,1.96268050023,0.241440356887
0.064,1,1,-1,1,nan,nan,nan,-0.00798730345333,-0.118591654388,-0.692940046025,2.12245894712,1.96268249929,0.241446340215
0.0645,1,1,-1,1,nan,nan,nan,-0.00798435936413,-0.118591678712,-0.692939093,2.12245512139,1.9626845477,0.241452269919
0.065,1,1,-1,1,nan,nan,nan,-0.00798133930929,-0.118591702998,-0.692938171856,2.122451394,1.96268664152,0.241458146609
0.0655,1,1,-1,1,nan,nan,nan,-0.00797824489019,-0.118591727256,-0.692937281663,2.1224477606,1.96268877711,0.241463970989
0.066,1,1,-1,1,nan,nan,nan,-0.00797507741086,-0.118591751483,-0.692936421501,2.12244421676,1.96269095091,0.241469743919
0.0665,1,1,-1,1,nan,nan,nan,-0.00797183829421,-0.118591775667,-0.692935590527,2.12244075858,1.96269315975,0.241475466133
0.067,1,1,-1,1,nan,nan,nan,-0.00796852873245,-0.118591799816,-0.692934787968,2.12243738249,1.96269540085,0.241481138406
0.0675,1,1,-1,1,nan,nan,nan,-0.00796514970056,-0.118591823934,-0.692934013094,2.12243408512,1.96269767166,0.241486761583
0.068,1,1,-1,1,nan,nan,nan,-0.00796170201191,-0.118591848023,-0.69293326522,2.12243086324,1.96269996985,0.241492336544
0.0685,1,1,-1,1,nan,nan,nan,-0.00795818635445,-0.11859187207,-0.692932543725,2.12242771388,1.96270229333,0.241497864171
0.069,1,1,-1,1,nan,nan,nan,-0.00795460454429,-0.118591895992,-0.692931849108,2.12242464059,1.96270464424,0.241503343063
0.0695,1,1,-1,1,nan,nan,nan,-0.00795094891377,-0.118591919897,-0.692931182017,2.12242164314,1.9627070249,0.241508775787
0.07,1,1,-1,1,nan,nan,nan,-0.00794721598643,-0.118591943785,-0.692930543069,2.12241872316,1.96270943755,0.241514162942
0.0705,1,1,-1,1,nan,nan,nan,-0.00794340673275,-0.118591967658,-0.69292993282,2.12241588424,1.96271188441,0.241519503159
0.071,1,1,-1,1,nan,nan,nan,-0.00793952210716,-0.118591991516,-0.692929351806,2.12241312994,1.96271436771,0.241524795138
0.0715,1,1,-1,1,nan,nan,nan,-0.00793556305169,-0.118592015362,-0.692928800541,2.12241046367,1.96271688968,0.241530037658
0.072,1,1,-1,1,nan,nan,nan,-0.00793153049751,-0.118592039198,-0.692928279506,2.12240788872,1.96271945243,0.241535229581
0.0725,1,1,-1,1,nan,nan,nan,-0.0079274253619,-0.118592063027,-0.69292778915,2.12240540819,1.96272205803,0.241540369858
0.073,1,1,-1,1,nan,nan,nan,-0.00792324854726,-0.118592086852,-0.692927329882,2.12240302501,1.96272470845,0.241545457527
0.0735,1,1,-1,1,nan,nan,nan,-0.00791900094172,-0.118592110675,-0.692926902074,2.12240074188,1.96272740553,0.241550491721
0.074,1,1,-1,1,nan,nan,nan,-0.00791468328158,-0.118592134505,-0.692926506096,2.12239856146,1.96273015113,0.241555471642
0.0745,1,1,-1,1,nan,nan,nan,-0.00791029507506,-0.118592158268,-0.692926142837,2.12239648839,1.9627329488,0.241560396238
0.075,1,1,-1,1,nan,nan,nan,-0.00790583661571,-0.118592182023,-0.692925813075,2.12239452733,1.96273580191,0.241565264207
0.0755,1,1,-1,1,nan,nan,nan,-0.00790130821084,-0.118592205768,-0.692925517531,2.12239268256,1.96273871353,0.241570074355
0.076,1,1,-1,1,nan,nan,nan,-0.0078967102058,-0.1185922295,-0.692925256845,2.12239095795,1.96274168646,0.24157482561
0.0765,1,1,-1,1,nan,nan,nan,-0.00789204295024,-0.118592253215,-0.692925031579,2.12238935694,1.96274472319,0.241579517025
0.077,1,1,-1,1,nan,nan,nan,-0.00788730684552,-0.118592276912,-0.692924842212,2.12238788254,1.96274782592,0.241584147783
